training_id,employee_id,training_date,training_topic,hours
T00106,E0196,2024-07-31,Labour Rights,8
T00107,E0132,2024-08-02,Anti-Discrimination,8
T00108,E0258,2024-08-04,Labour Rights,6
T00109,E0022,2024-08-06,Labour Rights,4
T00110,E0052,2024-08-08,Labour Rights,4
T00111,E0164,2024-08-10,Labour Rights,4
T00112,E0201,2024-08-12,Labour Rights,8
T00113,E0082,2024-08-14,Labour Rights,6
T00114,E0144,2024-08-16,Safety Procedures,2
T00115,E0084,2024-08-18,Anti-Discrimination,8
T00116,E0077,2024-08-20,Labour Rights,6
T00117,E0000,2024-08-22,Labour Rights,6
T00118,E0050,2024-08-24,Safety Procedures,2
T00119,E0172,2024-08-26,Labour Rights,2
T00120,E0204,2024-08-28,Safety Procedures,2
T00121,E0259,2024-08-30,Safety Procedures,4
T00122,E0287,2024-09-01,Anti-Discrimination,2
T00123,E0033,2024-09-03,Anti-Discrimination,6
T00124,E0094,2024-09-05,Labour Rights,2
T00125,E0071,2024-09-07,Anti-Discrimination,6
T00126,E0038,2024-09-09,Labour Rights,8
T00127,E0153,2024-09-11,Safety Procedures,4
T00128,E0249,2024-09-13,Anti-Discrimination,8
T00129,E0161,2024-09-15,Anti-Discrimination,8
T00130,E0117,2024-09-17,Anti-Discrimination,6
T00131,E0258,2024-09-19,Safety Procedures,8
T00132,E0267,2024-09-21,Labour Rights,6
T00133,E0053,2024-09-23,Anti-Discrimination,2
T00134,E0235,2024-09-25,Safety Procedures,2
T00135,E0221,2024-09-27,Safety Procedures,6
T00136,E0250,2024-09-29,Anti-Discrimination,2
T00137,E0111,2024-10-01,Labour Rights,4
T00138,E0254,2024-10-03,Safety Procedures,8
T00139,E0206,2024-10-05,Anti-Discrimination,4
T00140,E0228,2024-10-07,Anti-Discrimination,8
T00141,E0065,2024-10-09,Anti-Discrimination,2
T00142,E0074,2024-10-11,Anti-Discrimination,4
T00143,E0102,2024-10-13,Safety Procedures,2
T00144,E0191,2024-10-15,Safety Procedures,8
T00145,E0251,2024-10-17,Anti-Discrimination,6
T00146,E0225,2024-10-19,Anti-Discrimination,6
T00147,E0293,2024-10-21,Anti-Discrimination,4
T00148,E0097,2024-10-23,Anti-Discrimination,2
T00149,E0285,2024-10-25,Safety Procedures,2
T00150,E0248,2024-10-27,Anti-Discrimination,4
T00151,E0165,2024-10-29,Anti-Discrimination,6
T00152,E0029,2024-10-31,Anti-Discrimination,8
T00153,E0246,2024-11-02,Labour Rights,4
T00154,E0105,2024-11-04,Anti-Discrimination,8
T00155,E0050,2024-11-06,Safety Procedures,6
T00156,E0080,2024-11-08,Anti-Discrimination,2
T00157,E0132,2024-11-10,Safety Procedures,6
T00158,E0284,2024-11-12,Labour Rights,4
T00159,E0137,2024-11-14,Anti-Discrimination,2
T00160,E0183,2024-11-16,Labour Rights,4
T00161,E0272,2024-11-18,Safety Procedures,4
T00162,E0068,2024-11-20,Safety Procedures,6
T00163,E0033,2024-11-22,Labour Rights,4
T00164,E0261,2024-11-24,Labour Rights,6
T00165,E0052,2024-11-26,Safety Procedures,2
T00166,E0204,2024-11-28,Labour Rights,6
T00167,E0125,2024-11-30,Anti-Discrimination,2
T00168,E0234,2024-12-02,Safety Procedures,6
T00169,E0042,2024-12-04,Anti-Discrimination,8
T00170,E0239,2024-12-06,Labour Rights,8
T00171,E0110,2024-12-08,Anti-Discrimination,4
T00172,E0248,2024-12-10,Anti-Discrimination,6
T00173,E0150,2024-12-12,Anti-Discrimination,6
T00174,E0182,2024-12-14,Safety Procedures,2
T00175,E0094,2024-12-16,Anti-Discrimination,4
T00176,E0007,2024-12-18,Anti-Discrimination,6
T00177,E0183,2024-12-20,Anti-Discrimination,4
T00178,E0280,2024-12-22,Labour Rights,8
T00179,E0194,2024-12-24,Safety Procedures,6
T00180,E0194,2024-12-26,Labour Rights,6
T00181,E0154,2024-12-28,Labour Rights,4
T00182,E0092,2024-12-30,Safety Procedures,6
T00183,E0159,2025-01-01,Labour Rights,4
T00184,E0060,2025-01-03,Anti-Discrimination,6
T00185,E0121,2025-01-05,Anti-Discrimination,2
T00186,E0050,2025-01-07,Anti-Discrimination,4
T00187,E0276,2025-01-09,Anti-Discrimination,6
T00188,E0004,2025-01-11,Labour Rights,8
T00189,E0091,2025-01-13,Safety Procedures,6
T00190,E0169,2025-01-15,Anti-Discrimination,8
T00191,E0021,2025-01-17,Labour Rights,8
T00192,E0000,2025-01-19,Labour Rights,2
T00193,E0132,2025-01-21,Anti-Discrimination,4
T00194,E0232,2025-01-23,Safety Procedures,6
T00195,E0011,2025-01-25,Labour Rights,2
T00196,E0045,2025-01-27,Anti-Discrimination,6
T00197,E0033,2025-01-29,Safety Procedures,8
T00198,E0077,2025-01-31,Labour Rights,4
T00199,E0217,2025-02-02,Labour Rights,6
T00200,E0072,2025-02-04,Labour Rights,6
T00201,E0281,2025-02-06,Labour Rights,8
T00202,E0248,2025-02-08,Safety Procedures,6
T00203,E0046,2025-02-10,Anti-Discrimination,6
T00204,E0120,2025-02-12,Anti-Discrimination,8
T00205,E0213,2025-02-14,Anti-Discrimination,2
T00206,E0238,2025-02-16,Safety Procedures,8
T00207,E0055,2025-02-18,Anti-Discrimination,2
T00208,E0106,2025-02-20,Safety Procedures,4
T00209,E0047,2025-02-22,Labour Rights,2
T00210,E0060,2025-02-24,Safety Procedures,2
T00211,E0025,2025-02-26,Safety Procedures,4
T00212,E0291,2025-02-28,Safety Procedures,2
T00213,E0256,2025-03-02,Safety Procedures,8
T00214,E0007,2025-03-04,Labour Rights,2
T00215,E0112,2025-03-06,Labour Rights,4
T00216,E0252,2025-03-08,Anti-Discrimination,8
T00217,E0179,2025-03-10,Anti-Discrimination,4
T00218,E0206,2025-03-12,Labour Rights,4
T00219,E0126,2025-03-14,Labour Rights,6
T00220,E0055,2025-03-16,Anti-Discrimination,6
T00221,E0213,2025-03-18,Labour Rights,4
T00222,E0013,2025-03-20,Safety Procedures,4
T00223,E0027,2025-03-22,Labour Rights,4
T00224,E0077,2025-03-24,Safety Procedures,6
T00225,E0215,2025-03-26,Safety Procedures,6
T00226,E0153,2025-03-28,Safety Procedures,2
T00227,E0013,2025-03-30,Labour Rights,2
T00228,E0186,2025-04-01,Safety Procedures,4
T00229,E0006,2025-04-03,Safety Procedures,8
T00230,E0002,2025-04-05,Safety Procedures,8
T00231,E0110,2025-04-07,Anti-Discrimination,6
T00232,E0237,2025-04-09,Labour Rights,6
T00233,E0238,2025-04-11,Anti-Discrimination,6
T00234,E0273,2025-04-13,Anti-Discrimination,4
T00235,E0293,2025-04-15,Labour Rights,8
T00236,E0226,2025-04-17,Safety Procedures,2
T00237,E0014,2025-04-19,Safety Procedures,4
T00238,E0191,2025-04-21,Anti-Discrimination,2
T00239,E0118,2025-04-23,Safety Procedures,2
T00240,E0027,2025-04-25,Labour Rights,4
T00241,E0201,2025-04-27,Safety Procedures,2
T00242,E0038,2025-04-29,Safety Procedures,8
T00243,E0272,2025-05-01,Labour Rights,2
T00244,E0230,2025-05-03,Anti-Discrimination,8
T00245,E0085,2025-05-05,Safety Procedures,8
T00246,E0125,2025-05-07,Anti-Discrimination,8
T00247,E0299,2025-05-09,Anti-Discrimination,6
T00248,E0024,2025-05-11,Safety Procedures,2
T00249,E0144,2025-05-13,Anti-Discrimination,4
T00250,E0012,2025-05-15,Safety Procedures,4
T00251,E0211,2025-05-17,Anti-Discrimination,2
T00252,E0024,2025-05-19,Safety Procedures,6
T00253,E0067,2025-05-21,Anti-Discrimination,6
T00254,E0066,2025-05-23,Safety Procedures,8
T00255,E0232,2025-05-25,Safety Procedures,2
T00256,E0108,2025-05-27,Anti-Discrimination,2
T00257,E0145,2025-05-29,Labour Rights,4
T00258,E0110,2025-05-31,Safety Procedures,2
T00259,E0227,2025-06-02,Labour Rights,6
T00260,E0110,2025-06-04,Anti-Discrimination,2
T00261,E0033,2025-06-06,Labour Rights,4
T00262,E0110,2025-06-08,Labour Rights,8
T00263,E0263,2025-06-10,Safety Procedures,4
T00264,E0235,2025-06-12,Labour Rights,4
T00265,E0082,2025-06-14,Labour Rights,8
T00266,E0041,2025-06-16,Anti-Discrimination,4
T00267,E0100,2025-06-18,Labour Rights,4
T00268,E0005,2025-06-20,Labour Rights,2
T00269,E0179,2025-06-22,Anti-Discrimination,2
T00270,E0281,2025-06-24,Safety Procedures,8
T00271,E0225,2025-06-26,Labour Rights,2
T00272,E0228,2025-06-28,Labour Rights,2
T00273,E0288,2025-06-30,Safety Procedures,4
